episode,phase,starting_stones,steps,avg_return,ema_return,win_rate,draw_rate,policy_loss,value_loss,entropy,kl_div,clip_frac,grad_norm,lr,cycle_step,last_reset_event,minimax_depth_beaten,clone_gen,active_mm_max_depth,shaping_mult,wr_vs_mm_d1,wr_vs_mm_d2,wr_vs_mm_d3,wr_vs_mm_d4,wr_vs_mm_d5,wr_vs_mm_d6,wr_vs_mm_d7,wr_vs_random,wr_vs_self,slope_angle_d1,slope_angle_d2,slope_angle_d3,slope_angle_d4,slope_angle_d5,slope_angle_d6,slope_angle_d7,samples_in_window_d1,samples_in_window_d2,samples_in_window_d3,samples_in_window_d4,samples_in_window_d5,samples_in_window_d6,samples_in_window_d7,eps_per_sec
1255000,1,-1,41827424,2.060417169560239,1.4236410977735656,0.837,0.039,-0.02039886148284293,0.25595249111453694,1.6463148312436209,0.005444582755444571,0.11501315567228529,2.403038740158081,7.524590163934426e-05,0,none,2,1,1,0.8892445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.77,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,313.2864063057206
1279892,1,-1,42375405,2.12055686345527,1.4584868860576508,0.857,0.042,-0.022978495764276147,0.229354173808858,1.706713987433392,0.005541640961461741,0.10750949911881184,0.9940886497497559,7.672131147540982e-05,0,none,1,1,1,0.8865894166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908,0.788,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,314.2532585238762
1304485,1,-1,42945227,2.115118918593449,1.4913184876844405,0.8575,0.056,-0.02120108722657379,0.2296904261327452,1.757210373878479,0.004419491005440553,0.10460604530655676,1.5796986818313599,7.81967213114754e-05,0,none,0,1,1,0.8837695833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,0.796,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,315.2630435454182
1329069,1,-1,43526121,2.1352802011389795,1.5235165733571674,0.87575,0.0435,-0.022518918419437896,0.22094430091480413,1.7565133257044687,0.004484377834564334,0.10417574664784802,0.8911105990409851,7.967213114754097e-05,0,none,2,1,1,0.8809680833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.816,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,316.12397689088374
1353688,1,-1,44097728,2.1360455467732655,1.5541430220279722,0.8765,0.051,-0.02277714913685082,0.21985088744097286,1.726539174715678,0.004316697961055777,0.10558610016273128,1.0155409574508667,8.114754098360656e-05,0,none,3,1,1,0.8782719999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.826,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,317.02557332855
1378268,1,-1,44678407,2.1993039739027282,1.58640106962171,0.8765,0.052,-0.023402638235388115,0.2042911166532172,1.6940476712253358,0.004503662453822067,0.10407423114197122,1.024205207824707,8.262295081967212e-05,0,none,1,1,1,0.87543975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.824,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,317.4014213345137
1402855,1,-1,45247771,2.208333475528254,1.617497689917037,0.89025,0.0475,-0.025030891026329737,0.20841395120689835,1.6845217252123184,0.005697365040364472,0.10814079264367836,0.6740349531173706,8.40983606557377e-05,0,none,2,1,1,0.8725961666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.834,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,318.1750804946272
1427493,1,-1,45817640,2.205368336765042,1.6468912222594372,0.87425,0.0445,-0.023782944452250376,0.21128500687579313,1.6834637920061748,0.004767100882923437,0.10803900835000807,2.335871934890747,8.557377049180327e-05,0,none,1,1,1,0.8697320833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.84,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,318.827877386972
1452080,1,-1,46387645,2.169923707910285,1.6730428465419795,0.8725,0.053,-0.024225124643029023,0.21954579113258255,1.683886382314894,0.004018928501560974,0.10272367226166858,1.0214362144470215,8.704918032786885e-05,0,none,2,1,1,0.8668420833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.814,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,319.39925700783556
1476695,1,-1,46943498,2.249534977294936,1.7018674530796272,0.886,0.049,-0.025194544871540173,0.2140284603920536,1.6266703311947808,0.004548894204334289,0.10848377666611603,1.0122344493865967,8.852459016393441e-05,0,none,2,1,1,0.86396375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.818,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,320.1631178144607
1501336,1,-1,47462625,2.242920303030303,1.7289200955771609,0.87525,0.0225,-0.022725614382781915,0.24642203724573528,1.4858324584506808,0.00531863795578598,0.11756122230537354,1.5461456775665283,8.999999999999999e-05,0,none,0,1,1,0.8611689166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.84,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,320.94981931898764
